5;16
6;empty
35;tileBtn
37;monacle
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
652;69
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
655;77
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
658;78
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
661;17
664;18
667;19
670;20
673;21
676;22
679;23
682;24
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
685;25
688;26
691;27
694;28
697;29
700;30
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
703;31
706;32
709;33
712;34
715;35
718;36
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
721;37
724;38
727;39
730;40
733;41
736;42
739;43
742;44
745;45
748;46
751;47
754;48
757;49
6;empty
35;tileBtn
38;monacleItem
37;monacle
75;womanA
101;manB
132;womanMerchant
158;blacksmith
181;manC
218;invectidCommander
245;invectidSoldier
271;childB
293;childA
321;woodsman
351;healer
365;pinchpounce
375;punchHopper
395;manA
403;buzzbit
417;greatNastyTat
453;aquine
481;grasshop
509;magma
532;WomanB
540;brutus
564;merchantB
572;pinchmite
585;invectidDriver
614;cathy
617;gold
620;oileflask
622;bottle
626;card
649;aquineMonster
158;blacksmith
